Linux 6.18.35 (resarch-fixture) 	09/24/26 	_aarch64_	(5 CPU)

01:44:28        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:44:29        all      0.00      0.00      0.20      0.00      0.00      0.00      0.00      0.00      0.00     99.80
01:44:29          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:44:29          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:44:29          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:44:29          3      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     99.01
01:44:29          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:        all      0.00      0.00      0.20      0.00      0.00      0.00      0.00      0.00      0.00     99.80
Average:          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     99.01
Average:          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

01:44:28       proc/s   cswch/s
01:44:29         0.00    390.00
Average:         0.00    390.00

01:44:28         INTR    intr/s
01:44:29          sum    285.00
01:44:29            0      0.00
01:44:29            1      0.00
01:44:29            2    100.00
01:44:29            3      0.00
01:44:29            4      0.00
01:44:29            5      0.00
01:44:29            6      0.00
01:44:29            7      0.00
01:44:29            8      0.00
01:44:29            9      0.00
01:44:29           10      0.00
01:44:29           11    102.00
01:44:29           12      0.00
01:44:29           13      3.00
01:44:29           14      0.00
01:44:29           15      0.00
01:44:29           16      0.00
01:44:29           17     79.00
01:44:29           18      0.00
01:44:29           19      1.00
01:44:29           20      0.00
01:44:29           21      0.00
01:44:29           22      0.00
01:44:29           23      0.00
01:44:29           24      0.00
01:44:29           25      0.00
01:44:29           26      0.00
01:44:29           27      0.00
01:44:29           28      0.00
01:44:29           29      0.00
01:44:29           30      0.00
01:44:29           31      0.00
01:44:29           32      0.00
01:44:29           33      0.00
01:44:29           34      0.00
01:44:29           35      0.00
01:44:29           36      0.00
01:44:29           37      0.00
01:44:29           38      0.00
01:44:29           39      0.00
01:44:29           40      0.00
01:44:29           41      0.00
01:44:29           42      0.00
01:44:29           43      0.00
01:44:29           44      0.00
01:44:29           45      0.00
01:44:29           46      0.00
01:44:29           47      0.00
01:44:29           48      0.00
01:44:29           49      0.00
01:44:29           50      0.00
01:44:29           51      0.00
01:44:29           52      0.00
01:44:29           53      0.00
01:44:29           54      0.00
01:44:29           55      0.00
01:44:29           56      0.00
01:44:29           57      0.00
01:44:29           58      0.00
01:44:29           59      0.00
01:44:29           60      0.00
01:44:29           61      0.00
01:44:29           62      0.00
01:44:29           63      0.00
Average:          sum    285.00
Average:            0      0.00
Average:            1      0.00
Average:            2    100.00
Average:            3      0.00
Average:            4      0.00
Average:            5      0.00
Average:            6      0.00
Average:            7      0.00
Average:            8      0.00
