Linux 6.18.35 (resarch-fixture) 	09/24/26 	_aarch64_	(5 CPU)

01:49:19        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:49:20        all      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:49:20          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:49:20          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:49:20          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:49:20          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:49:20          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:        all      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

01:49:19       proc/s   cswch/s
01:49:20         0.00    374.26
Average:         0.00    374.26

01:49:19         INTR    intr/s
01:49:20          sum    274.26
01:49:20            0      0.00
01:49:20            1      0.00
01:49:20            2     99.01
01:49:20            3      0.00
01:49:20            4      0.00
01:49:20            5      0.00
01:49:20            6      0.00
01:49:20            7      0.00
01:49:20            8      0.00
01:49:20            9      0.00
01:49:20           10      0.00
01:49:20           11     94.06
01:49:20           12      0.00
01:49:20           13      2.97
01:49:20           14      0.00
01:49:20           15      0.00
01:49:20           16      0.00
01:49:20           17     78.22
01:49:20           18      0.00
01:49:20           19      0.00
01:49:20           20      0.00
01:49:20           21      0.00
01:49:20           22      0.00
01:49:20           23      0.00
01:49:20           24      0.00
01:49:20           25      0.00
01:49:20           26      0.00
01:49:20           27      0.00
01:49:20           28      0.00
01:49:20           29      0.00
01:49:20           30      0.00
01:49:20           31      0.00
01:49:20           32      0.00
01:49:20           33      0.00
01:49:20           34      0.00
01:49:20           35      0.00
01:49:20           36      0.00
01:49:20           37      0.00
01:49:20           38      0.00
01:49:20           39      0.00
01:49:20           40      0.00
01:49:20           41      0.00
01:49:20           42      0.00
01:49:20           43      0.00
01:49:20           44      0.00
01:49:20           45      0.00
01:49:20           46      0.00
01:49:20           47      0.00
01:49:20           48      0.00
01:49:20           49      0.00
01:49:20           50      0.00
