Linux 6.18.35 (resarch-fixture) 	09/24/26 	_aarch64_	(5 CPU)

01:34:54        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:34:55        all      0.00      0.00      0.20      0.00      0.00      0.00      0.00      0.00      0.00     99.80
01:34:55          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:34:55          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:34:55          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:34:55          3      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     99.01
01:34:55          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:        all      0.00      0.00      0.20      0.00      0.00      0.00      0.00      0.00      0.00     99.80
Average:          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     99.01
Average:          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

01:34:54       proc/s   cswch/s
01:34:55         0.00    313.00
Average:         0.00    313.00

01:34:54         INTR    intr/s
01:34:55          sum    247.00
01:34:55            0      0.00
01:34:55            1      0.00
01:34:55            2     83.00
01:34:55            3      0.00
01:34:55            4      0.00
01:34:55            5      0.00
01:34:55            6      0.00
01:34:55            7      0.00
01:34:55            8      0.00
01:34:55            9      0.00
01:34:55           10      0.00
01:34:55           11     98.00
01:34:55           12      0.00
01:34:55           13      2.00
01:34:55           14      0.00
01:34:55           15      0.00
01:34:55           16      0.00
01:34:55           17     63.00
01:34:55           18      0.00
01:34:55           19      1.00
01:34:55           20      0.00
01:34:55           21      0.00
01:34:55           22      0.00
01:34:55           23      0.00
01:34:55           24      0.00
01:34:55           25      0.00
01:34:55           26      0.00
01:34:55           27      0.00
01:34:55           28      0.00
01:34:55           29      0.00
01:34:55           30      0.00
01:34:55           31      0.00
01:34:55           32      0.00
01:34:55           33      0.00
01:34:55           34      0.00
01:34:55           35      0.00
01:34:55           36      0.00
01:34:55           37      0.00
01:34:55           38      0.00
01:34:55           39      0.00
01:34:55           40      0.00
01:34:55           41      0.00
01:34:55           42      0.00
01:34:55           43      0.00
01:34:55           44      0.00
01:34:55           45      0.00
01:34:55           46      0.00
01:34:55           47      0.00
01:34:55           48      0.00
01:34:55           49      0.00
01:34:55           50      0.00
01:34:55           51      0.00
01:34:55           52      0.00
01:34:55           53      0.00
