Linux 6.18.35 (resarch-fixture) 	09/24/26 	_aarch64_	(5 CPU)

01:48:50        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:48:51        all      0.00      0.00      0.20      0.00      0.00      0.00      0.00      0.00      0.00     99.80
01:48:51          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:48:51          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:48:51          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:48:51          3      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     99.01
01:48:51          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:        all      0.00      0.00      0.20      0.00      0.00      0.00      0.00      0.00      0.00     99.80
Average:          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     99.01
Average:          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

01:48:50       proc/s   cswch/s
01:48:51         0.00    350.00
Average:         0.00    350.00

01:48:50         INTR    intr/s
01:48:51          sum    215.00
01:48:51            0      0.00
01:48:51            1      0.00
01:48:51            2     84.00
01:48:51            3      0.00
01:48:51            4      0.00
01:48:51            5      0.00
01:48:51            6      0.00
01:48:51            7      0.00
01:48:51            8      0.00
01:48:51            9      0.00
01:48:51           10      0.00
01:48:51           11     50.00
01:48:51           12      0.00
01:48:51           13      1.00
01:48:51           14      0.00
01:48:51           15      0.00
01:48:51           16      0.00
01:48:51           17     79.00
01:48:51           18      0.00
01:48:51           19      1.00
01:48:51           20      0.00
01:48:51           21      0.00
01:48:51           22      0.00
01:48:51           23      0.00
01:48:51           24      0.00
01:48:51           25      0.00
01:48:51           26      0.00
01:48:51           27      0.00
01:48:51           28      0.00
01:48:51           29      0.00
01:48:51           30      0.00
01:48:51           31      0.00
01:48:51           32      0.00
01:48:51           33      0.00
01:48:51           34      0.00
01:48:51           35      0.00
01:48:51           36      0.00
01:48:51           37      0.00
01:48:51           38      0.00
01:48:51           39      0.00
01:48:51           40      0.00
01:48:51           41      0.00
01:48:51           42      0.00
01:48:51           43      0.00
01:48:51           44      0.00
01:48:51           45      0.00
01:48:51           46      0.00
01:48:51           47      0.00
01:48:51           48      0.00
01:48:51           49      0.00
01:48:51           50      0.00
01:48:51           51      0.00
01:48:51           52      0.00
01:48:51           53      0.00
01:48:51           54      0.00
01:48:51           55      0.00
01:48:51           56      0.00
01:48:51           57      0.00
01:48:51           58      0.00
01:48:51           59      0.00
01:48:51           60      0.00
01:48:51           61      0.00
01:48:51           62      0.00
01:48:51           63      0.00
Average:          sum    215.00
Average:            0      0.00
Average:            1      0.00
Average:            2     84.00
Average:            3      0.00
Average:            4      0.00
Average:            5      0.00
Average:            6      0.00
Average:            7      0.00
Average:            8      0.00
Average:            9      0.00
Average:           10      0.00
Average:           11     50.00
Average:           12      0.00
Average:           13      1.00
Average:           14      0.00
Average:           15      0.00
Average:           16      0.00
Average:           17     79.00
Average:           18      0.00
Average:           19      1.00
Average:           20      0.00
Average:           21      0.00
Average:           22      0.00
Average:           23      0.00
Average:           24      0.00
Average:           25      0.00
Average:           26      0.00
Average:           27      0.00
Average:           28      0.00
Average:           29      0.00
Average:           30      0.00
Average:           31      0.00
Average:           32      0.00
Average:           33      0.00
Average:           34      0.00
Average:           35      0.00
Average:           36      0.00
Average:           37      0.00
Average:           38      0.00
Average:           39      0.00
Average:           40      0.00
Average:           41      0.00
Average:           42      0.00
Average:           43      0.00
Average:           44      0.00
Average:           45      0.00
Average:           46      0.00
Average:           47      0.00
Average:           48      0.00
Average:           49      0.00
Average:           50      0.00
Average:           51      0.00
Average:           52      0.00
Average:           53      0.00
Average:           54      0.00
Average:           55      0.00
Average:           56      0.00
Average:           57      0.00
Average:           58      0.00
Average:           59      0.00
Average:           60      0.00
Average:           61      0.00
Average:           62      0.00
Average:           63      0.00

01:48:50     pswpin/s pswpout/s
01:48:51         0.00      0.00
Average:         0.00      0.00

01:48:50     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
01:48:51         0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00      0.00

01:48:50          tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
01:48:51         0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:48:50    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:48:51       877304   1007836     88948      7.89     17640    120944     43744      3.88     35856    106084        44      3540     22880      1680       328      4120
Average:       877304   1007836     88948      7.89     17640    120944     43744      3.88     35856    106084        44      3540     22880      1680       328      4120

01:48:50    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
01:48:51            0         0      0.00         0      0.00
Average:            0         0      0.00         0      0.00

01:48:50    kbhugfree kbhugused  %hugused kbhugrsvd kbhugsurp
01:48:51            0         0      0.00         0         0
Average:            0         0      0.00         0         0

01:48:50    dentunusd   file-nr  inode-nr    pty-nr
01:48:51          157        32       798         0
Average:          157        32       798         0

